,2012,2013,2014,2015,2016,Phrase
namegame ca internet,1.0,1.0,1.0,1.0,1,namegame ca internet
namegrab,,,,,1,namegrab
nameemperor com llc,1.0,1.0,1.0,1.0,1,nameemperor com llc
namegrab llc,,,,,1,namegrab llc
namejolt,1.0,1.0,1.0,1.0,1,namejolt
namejolt com,1.0,1.0,1.0,1.0,1,namejolt com
namejolt com llc,1.0,1.0,1.0,1.0,1,namejolt com llc
namejumper,1.0,1.0,1.0,1.0,1,namejumper
namejumper com,1.0,1.0,1.0,1.0,1,namejumper com
namejumper com inc,1.0,1.0,1.0,1.0,1,namejumper com inc
nameking,1.0,1.0,1.0,1.0,1,nameking
nameking com,1.0,1.0,1.0,1.0,1,nameking com
nameking com inc,1.0,1.0,1.0,1.0,1,nameking com inc
nameisp,1.0,1.0,1.0,1.0,1,nameisp
nameemperor com,1.0,1.0,1.0,1.0,1,nameemperor com
nameemperor,1.0,1.0,1.0,1.0,1,nameemperor
namecroc com llc,1.0,1.0,1.0,1.0,1,namecroc com llc
namebake,,1.0,1.0,1.0,1,namebake
namebake llc,,1.0,1.0,1.0,1,namebake llc
namebay,1.0,1.0,1.0,1.0,1,namebay
namebay sam,1.0,1.0,1.0,1.0,1,namebay sam
namebrew,1.0,1.0,1.0,1.0,1,namebrew
namebrew llc,1.0,1.0,1.0,1.0,1,namebrew llc
namebright,1.0,1.0,1.0,1.0,1,namebright
namebright com,1.0,1.0,1.0,1.0,1,namebright com
namecamp,,,,1.0,1,namecamp
namecamp limited,,,,1.0,1,namecamp limited
namecatch llc,,,,,1,namecatch llc
namecatch zone,,,,,1,namecatch zone
namecatch zone llc,,,,,1,namecatch zone llc
namecentral,,,,1.0,1,namecentral
namecentral inc,,,,1.0,1,namecentral inc
namecheap,1.0,1.0,1.0,1.0,1,namecheap
namecheap inc,1.0,1.0,1.0,1.0,1,namecheap inc
namechild,,1.0,1.0,1.0,1,namechild
namechild llc,,1.0,1.0,1.0,1,namechild llc
namecroc,1.0,1.0,1.0,1.0,1,namecroc
namecroc com,1.0,1.0,1.0,1.0,1,namecroc com
nameling com,1.0,1.0,1.0,1.0,1,nameling com
microbreweddomains,1.0,1.0,1.0,1.0,1,microbreweddomains
metropolitan municipality,,,,,1,metropolitan municipality
metropolitan,,,,,1,metropolitan
limited mat,1.0,1.0,1.0,1.0,1,limited mat
limited mat bao,1.0,1.0,1.0,1.0,1,limited mat bao
limited scb,,,,1.0,1,limited scb
limited trading,1.0,1.0,1.0,1.0,1,limited trading
limited trading as,1.0,1.0,1.0,1.0,1,limited trading as
lincoln,,,,1.0,1,lincoln
lincoln llc,,,,1.0,1,lincoln llc
linde,,,,,1,linde
linde aktiengesellschaft,,,,,1,linde aktiengesellschaft
limited llc,1.0,1.0,1.0,1.0,1,limited llc
line,,,,1.0,1,line
line drive domains,,,,1.0,1,line drive domains
lines,,,,,1,lines
lines inc,,,,,1,lines inc
link,,,,,1,link
link network,,,,,1,link network
link network co,,,,,1,link network co
linkage,2.0,1.0,1.0,1.0,1,linkage
linkage technology,2.0,1.0,1.0,1.0,1,linkage technology
linkage technology ltd,2.0,1.0,1.0,1.0,1,linkage technology ltd
line drive,,,,1.0,1,line drive
lionheart,,,,1.0,1,lionheart
limited hosting ireland,,,,,1,limited hosting ireland
limited dba webnic,1.0,1.0,1.0,1.0,1,limited dba webnic
lian beijing,4.0,2.0,2.0,1.0,1,lian beijing
lian beijing technology,4.0,2.0,2.0,1.0,1,lian beijing technology
lianchen,,,,1.0,1,lianchen
lianchen beijing,,,,1.0,1,lianchen beijing
lianchen beijing technology,,,,1.0,1,lianchen beijing technology
libra,,,,1.0,1,libra
libra limited,,,,1.0,1,libra limited
libris,1.0,1.0,1.0,1.0,1,libris
libris com,1.0,1.0,1.0,1.0,1,libris com
limited hosting,,,,,1,limited hosting
life insurance,,,,,1,life insurance
life insurers,,,,,1,life insurers
lifestyle domain,,,,,1,lifestyle domain
lifestyle domain holdings,,,,,1,lifestyle domain holdings
lifestyle llc,,,,1.0,1,lifestyle llc
ligne,1.0,1.0,1.0,1.0,1,ligne
ligne web,1.0,1.0,1.0,1.0,1,ligne web
ligne web services,1.0,1.0,1.0,1.0,1,ligne web services
limited company,,,,1.0,1,limited company
limited dba namevault,1.0,1.0,1.0,1.0,1,limited dba namevault
life insurance company,,,,,1,life insurance company
lionheart 888,,,,1.0,1,lionheart 888
lionheart 888 llc,,,,1.0,1,lionheart 888 llc
lionshare,,,,1.0,1,lionshare
llc dba global,1.0,1.0,1.0,1.0,1,llc dba global
llc dba no,1.0,1.0,1.0,1.0,1,llc dba no
llc latvijas,1.0,1.0,1.0,1.0,1,llc latvijas
llc latvijas parstavnieciba,1.0,1.0,1.0,1.0,1,llc latvijas parstavnieciba
llc spirit,1.0,1.0,1.0,1.0,1,llc spirit
llc spirit telecom,1.0,1.0,1.0,1.0,1,llc spirit telecom
loan,,,,1.0,1,loan
loan limited,,,,1.0,1,loan limited
locale,,,,1.0,1,locale
llc dba domus,1.0,1.0,1.0,1.0,1,llc dba domus
locale llc,,,,1.0,1,locale llc
locus analytics,,,,,1,locus analytics
locus analytics llc,,,,,1,locus analytics llc
logicboxes,,,1.0,1.0,1,logicboxes
logicboxes naming,,,1.0,1.0,1,logicboxes naming
logicboxes naming services,,,1.0,1.0,1,logicboxes naming services
logistics,,1.0,2.0,1.0,1,logistics
logistics pty,,1.0,2.0,1.0,1,logistics pty
logistics pty ltd,,1.0,2.0,1.0,1,logistics pty ltd
london,,,1.0,1.0,1,london
locus,,,,,1,locus
llc dba domainspa,1.0,1.0,1.0,1.0,1,llc dba domainspa
llc dba domainprocessor,1.0,1.0,1.0,1.0,1,llc dba domainprocessor
llc dba dnsimple,,,1.0,1.0,1,llc dba dnsimple
lionshare domains,,,,1.0,1,lionshare domains
lionshare domains llc,,,,1.0,1,lionshare domains llc
liquidnet,1.0,1.0,1.0,1.0,1,liquidnet
liquidnet ltd,1.0,1.0,1.0,1.0,1,liquidnet ltd
litedomains,,1.0,1.0,1.0,1,litedomains
litedomains llc,,1.0,1.0,1.0,1,litedomains llc
litian,1.0,1.0,2.0,1.0,1,litian
litian network,1.0,1.0,2.0,1.0,1,litian network
litian network technology,1.0,1.0,2.0,1.0,1,litian network technology
little dynamite,,,1.0,1.0,1,little dynamite
little dynamite llc,,,1.0,1.0,1,little dynamite llc
little galley,,,,1.0,1,little galley
little galley llc,,,,1.0,1,little galley llc
little station,,,1.0,1.0,1,little station
little station llc,,,1.0,1.0,1,little station llc
lixil,,,,,1,lixil
lixil group,,,,,1,lixil group
lixil group corporation,,,,,1,lixil group corporation
llc applicant,,,,1.0,1,llc applicant
llc coordination,,,,1.0,1,llc coordination
llc coordination center,,,,1.0,1,llc coordination center
lian,4.0,2.0,3.0,1.0,1,lian
london domains,,,1.0,1.0,1,london domains
liaison technologies incorporated,,,,1.0,1,liaison technologies incorporated
liaison,,,,1.0,1,liaison
lauder companies,,,,,1,lauder companies
lauder companies inc,,,,,1,lauder companies inc
launchpad,2.0,1.0,1.0,1.0,1,launchpad
launchpad com,1.0,1.0,1.0,1.0,1,launchpad com
launchpad com inc,1.0,1.0,1.0,1.0,1,launchpad com inc
lavoro,,,,,1,lavoro
law,,,,1.0,1,law
law group,,,,1.0,1,law group
law group llp,,,,1.0,1,law group llp
lauder,,,,,1,lauder
layup,,,,,1,layup
layup domains llc,,,,,1,layup domains llc
lcn,1.0,1.0,1.0,1.0,1,lcn
lcn com,1.0,1.0,1.0,1.0,1,lcn com
lcn com ltd,1.0,1.0,1.0,1.0,1,lcn com ltd
leader,,,,1.0,1,leader
leader limited,,,,1.0,1,leader limited
leadership,,,1.0,1.0,1,leadership
leadership committee,,,1.0,1.0,1,leadership committee
leadership committee inc,,,1.0,1.0,1,leadership committee inc
layup domains,,,,,1,layup domains
league,,,,1.0,1,league
laude,1.0,1.0,1.0,1.0,1,laude
latvijas,1.0,1.0,1.0,1.0,1,latvijas
langenbach gmbh joker,1.0,1.0,1.0,1.0,1,langenbach gmbh joker
lanhai,,,,1.0,1,lanhai
lanhai jiye,,,,1.0,1,lanhai jiye
lanhai jiye technology,,,,1.0,1,lanhai jiye technology
lanxess,,,,,1,lanxess
lanxess corporation,,,,,1,lanxess corporation
larsen,1.0,1.0,1.0,1.0,1,larsen
larsen data,1.0,1.0,1.0,1.0,1,larsen data
larsen data aps,1.0,1.0,1.0,1.0,1,larsen data aps
latvijas parstavnieciba,1.0,1.0,1.0,1.0,1,latvijas parstavnieciba
lasalle,,,,1.0,1,lasalle
last,,,,1.0,1,last
last resort,,,,1.0,1,last resort
last resort foundation,,,,1.0,1,last resort foundation
latin american,,,,,1,latin american
latin american telecom,,,,,1,latin american telecom
latin llc,,,1.0,1.0,1,latin llc
latinoamφrica,,,,1.0,1,latinoamφrica
latinoamφrica el,,,,1.0,1,latinoamφrica el
latinoamφrica el caribe,,,,1.0,1,latinoamφrica el caribe
lasalle incorporated,,,,1.0,1,lasalle incorporated
leaque,,,,1.0,1,leaque
leaque domains,,,,1.0,1,leaque domains
leaque domains llc,,,,1.0,1,leaque domains llc
lemonregistry,,,1.0,1.0,1,lemonregistry
lemonregistry com,,,1.0,1.0,1,lemonregistry com
leo,,,1.0,1.0,1,leo
leo limited,,,1.0,1.0,1,leo limited
leonardo,,,,1.0,1,leonardo
leonardo da,,,,1.0,1,leonardo da
leonardo da vinci,,,,1.0,1,leonardo da vinci
leonidas,,,,1.0,1,leonidas
leonidas llc,,,,1.0,1,leonidas llc
lemon shark domains,,,,1.0,1,lemon shark domains
level design,,,1.0,1.0,1,level design
level domain gmbh,,,1.0,1.0,1,level domain gmbh
level domain holdings,1.0,1.0,1.0,1.0,1,level domain holdings
level domains,,,,,1,level domains
level domains llc,,,,,1,level domains llc
level spectrum,,,1.0,1.0,1,level spectrum
level spectrum inc,,,1.0,1.0,1,level spectrum inc
lexsynergy,1.0,1.0,1.0,1.0,1,lexsynergy
lexsynergy limited,1.0,1.0,1.0,1.0,1,lexsynergy limited
li,2.0,1.0,1.0,1.0,1,li
level design llc,,,1.0,1.0,1,level design llc
lemon shark,,,,1.0,1,lemon shark
lemon,,,,1.0,1,lemon
lemarit domain management,1.0,1.0,1.0,1.0,1,lemarit domain management
leatherneckdomains,,,,1.0,1,leatherneckdomains
leatherneckdomains com,,,,1.0,1,leatherneckdomains com
leatherneckdomains com llc,,,,1.0,1,leatherneckdomains com llc
lec,,,,1.0,1,lec
lec association,,,,1.0,1,lec association
lec association des,,,,1.0,1,lec association des
leclerc,,,,1.0,1,leclerc
ledl,3.0,1.0,1.0,1.0,1,ledl
ledl net,3.0,1.0,1.0,1.0,1,ledl net
ledl net gmbh,2.0,1.0,1.0,1.0,1,ledl net gmbh
lee,1.0,1.0,1.0,1.0,1,lee
lee 888,,,1.0,1.0,1,lee 888
lee 888 llc,,,1.0,1.0,1,lee 888 llc
left,,,,,1,left
left domains,,,,,1,left domains
left domains llc,,,,,1,left domains llc
leif,,,,1.0,1,leif
leif ericson,,,,1.0,1,leif ericson
leif ericson llc,,,,1.0,1,leif ericson llc
lemarit,1.0,1.0,1.0,1.0,1,lemarit
lemarit domain,1.0,1.0,1.0,1.0,1,lemarit domain
liaison technologies,,,,1.0,1,liaison technologies
holly fields llc,,,,1.0,1,holly fields llc
london domains limited,,,1.0,1.0,1,london domains limited
lone falls llc,,,,1.0,1,lone falls llc
maoming qunyin,,,,1.0,1,maoming qunyin
maoming qunyin network,,,,1.0,1,maoming qunyin network
maoyi,2.0,1.0,1.0,1.0,1,maoyi
maoyi shanghai,2.0,1.0,1.0,1.0,1,maoyi shanghai
maoyi shanghai ltd,2.0,1.0,1.0,1.0,1,maoyi shanghai ltd
marcaria,,1.0,1.0,1.0,1,marcaria
marcaria com,,1.0,1.0,1.0,1,marcaria com
marcaria com international,,1.0,1.0,1.0,1,marcaria com international
mark,,1.0,1.0,1.0,1,mark
maoming,,,,1.0,1,maoming
mark barker,,1.0,1.0,1.0,1,mark barker
marketplace,,,,,1,marketplace
marketplace llc,,,,,1,marketplace llc
markmonitor,1.0,1.0,1.0,1.0,1,markmonitor
markmonitor inc,1.0,1.0,1.0,1.0,1,markmonitor inc
marriott,,,,1.0,1,marriott
marriott worldwide,,,,1.0,1,marriott worldwide
marriott worldwide corporation,,,,1.0,1,marriott worldwide corporation
masamune,,,,,1,masamune
masamune llc,,,,,1,masamune llc
mark barker incorporated,,1.0,1.0,1.0,1,mark barker incorporated
masterofmydomains,1.0,1.0,1.0,1.0,1,masterofmydomains
mantra inc,1.0,1.0,1.0,1.0,1,mantra inc
manager,1.0,1.0,1.0,1.0,1,manager
mailinh llc,,,,1.0,1,mailinh llc
mainreg,,,,1.0,1,mainreg
mainreg inc,,,,1.0,1,mainreg inc
major,,,,1.0,1,major
major leaque,,,,1.0,1,major leaque
major leaque domains,,,,1.0,1,major leaque domains
malawi,,,,,1,malawi
malawi sustainable,,,,,1,malawi sustainable
malawi sustainable development,,,,,1,malawi sustainable development
mantra,1.0,1.0,1.0,1.0,1,mantra
man,,,,,1,man
management co,,,,1.0,1,management co
management co ltd,,,,1.0,1,management co ltd
management company,1.0,1.0,1.0,1.0,1,management company
management company llc,1.0,1.0,1.0,1.0,1,management company llc
management gmbh,1.0,1.0,1.0,1.0,1,management gmbh
management llc,,,,1.0,1,management llc
management llc applicant,,,,1.0,1,management llc applicant
management systems,,1.0,1.0,1.0,1,management systems
management systems inc,,1.0,1.0,1.0,1,management systems inc
man se,,,,,1,man se
masterofmydomains net,1.0,1.0,1.0,1.0,1,masterofmydomains net
masterofmydomains net llc,1.0,1.0,1.0,1.0,1,masterofmydomains net llc
mat bao trading,1.0,1.0,1.0,1.0,1,mat bao trading
megazone corp dba,1.0,1.0,1.0,1.0,1,megazone corp dba
meicheng,1.0,1.0,2.0,1.0,1,meicheng
meicheng technology,1.0,1.0,2.0,1.0,1,meicheng technology
meicheng technology information,1.0,1.0,2.0,1.0,1,meicheng technology information
melbourne,2.0,2.0,2.0,1.0,1,melbourne
melbourne it,2.0,2.0,2.0,1.0,1,melbourne it
melbourne it ltd,1.0,1.0,1.0,1.0,1,melbourne it ltd
mercado,1.0,2.0,1.0,1.0,1,mercado
mercado sociedad,1.0,1.0,1.0,1.0,1,mercado sociedad
megazone corp,1.0,1.0,1.0,1.0,1,megazone corp
mercado sociedad de,1.0,1.0,1.0,1.0,1,mercado sociedad de
merchant law,,,,1.0,1,merchant law
merchant law group,,,,1.0,1,merchant law group
merck,,,,1.0,1,merck
merck kgaa,,,,1.0,1,merck kgaa
mesh,1.0,1.0,1.0,1.0,1,mesh
mesh digital,1.0,1.0,1.0,1.0,1,mesh digital
mesh digital limited,1.0,1.0,1.0,1.0,1,mesh digital limited
metaregistrar,,,,1.0,1,metaregistrar
metaregistrar bv,,,,1.0,1,metaregistrar bv
merchant,,,,1.0,1,merchant
megazone,1.0,1.0,1.0,1.0,1,megazone
meganames llc,,,,,1,meganames llc
meganames,,,,,1,meganames
matrix,,,,,1,matrix
matrix ip,,,,,1,matrix ip
matrix ip llc,,,,,1,matrix ip llc
maximus,,,,1.0,1,maximus
maximus llc,,,,1.0,1,maximus llc
mayi,,,,,1,mayi
mayi information,,,,,1,mayi information
mayi information co,,,,,1,mayi information co
mbh,,,1.0,1.0,1,mbh
mdi,1.0,1.0,1.0,1.0,1,mdi
media gmbh,,,,1.0,1,media gmbh
media inc,2.0,,,,1,media inc
media limited,,,,1.0,1,media limited
media ltd,,,,,1,media ltd
media ventures,2.0,1.0,1.0,1.0,1,media ventures
media ventures llc,2.0,1.0,1.0,1.0,1,media ventures llc
medien,1.0,,,,1,medien
medien und,1.0,,,,1,medien und
medien und kommunikation,1.0,,,,1,medien und kommunikation
medistry,,,,,1,medistry
medistry llc,,,,,1,medistry llc
mailinh,,,,1.0,1,mailinh
lone falls,,,,1.0,1,lone falls
mailclub sas,1.0,1.0,1.0,1.0,1,mailclub sas
mail media gmbh,,,,1.0,1,mail media gmbh
ltd dba ip,1.0,1.0,1.0,1.0,1,ltd dba ip
ltd dba softlayer,,1.0,,1.0,1,ltd dba softlayer
ltd dba tpp,1.0,1.0,1.0,1.0,1,ltd dba tpp
ltd lemonregistry,,,1.0,1.0,1,ltd lemonregistry
ltd lemonregistry com,,,1.0,1.0,1,ltd lemonregistry com
ltd libris,1.0,1.0,1.0,1.0,1,ltd libris
ltd libris com,1.0,1.0,1.0,1.0,1,ltd libris com
ltd novaltel,1.0,1.0,2.0,1.0,1,ltd novaltel
ltd ownregistrar,1.0,1.0,1.0,1.0,1,ltd ownregistrar
ltd dba imena,1.0,1.0,1.0,1.0,1,ltd dba imena
ltd ownregistrar com,1.0,1.0,1.0,1.0,1,ltd ownregistrar com
ltd paragon names,,,1.0,1.0,1,ltd paragon names
ltd publicdomainregistry,1.0,,1.0,1.0,1,ltd publicdomainregistry
ltd publicdomainregistry com,,,1.0,1.0,1,ltd publicdomainregistry com
ltd ti,3.0,1.0,,1.0,1,ltd ti
ltd www,1.0,,,1.0,1,ltd www
ltd www aboutdomainso,1.0,,,1.0,1,ltd www aboutdomainso
luck,1.0,1.0,1.0,1.0,1,luck
luck internet,1.0,1.0,1.0,1.0,1,luck internet
luck internet services,1.0,1.0,1.0,1.0,1,luck internet services
ltd paragon,,,1.0,1.0,1,ltd paragon
lucky,1.0,,,1.0,1,lucky
ltd dba hebeidomains,1.0,1.0,1.0,1.0,1,ltd dba hebeidomains
ltd dba dns,1.0,,,1.0,1,ltd dba dns
lone fields,,,1.0,1.0,1,lone fields
lone fields llc,,,1.0,1.0,1,lone fields llc
lone hollow,,,,1.0,1,lone hollow
lone hollow llc,,,,1.0,1,lone hollow llc
lone sunset,,,1.0,1.0,1,lone sunset
lone sunset llc,,,1.0,1.0,1,lone sunset llc
long,,,,,1,long
long drive,,,,,1,long drive
long drive domains,,,,,1,long drive domains
ltd dba domain,1.0,1.0,1.0,1.0,1,ltd dba domain
lotte,,,,1.0,1,lotte
lotte holdings co,,,,1.0,1,lotte holdings co
lovells,1.0,1.0,1.0,1.0,1,lovells
lovells international,1.0,1.0,1.0,1.0,1,lovells international
lovells international llp,1.0,1.0,1.0,1.0,1,lovells international llp
ltd co,1.0,1.0,1.0,1.0,1,ltd co
ltd co kg,1.0,1.0,1.0,1.0,1,ltd co kg
ltd company,,,,1.0,1,ltd company
ltd company incorporated,,,,1.0,1,ltd company incorporated
ltd dba com,1.0,1.0,1.0,1.0,1,ltd dba com
lotte holdings,,,,1.0,1,lotte holdings
lucky elephant,,,,1.0,1,lucky elephant
lucky elephant domains,,,,1.0,1,lucky elephant domains
lupin,,,,1.0,1,lupin
magic friday,1.0,1.0,1.0,1.0,1,magic friday
magic friday inc,1.0,1.0,1.0,1.0,1,magic friday inc
magic glen,,,1.0,1.0,1,magic glen
magic glen llc,,,1.0,1.0,1,magic glen llc
magic pass,,,1.0,1.0,1,magic pass
magic pass llc,,,1.0,1.0,1,magic pass llc
magic woods,,,1.0,1.0,1,magic woods
magic woods llc,,,1.0,1.0,1,magic woods llc
magnate,,,,1.0,1,magnate
magic birch llc,,,1.0,1.0,1,magic birch llc
magnate domains,,,,1.0,1,magnate domains
magnolia,,,,1.0,1,magnolia
magnolia domains,,,,1.0,1,magnolia domains
magnolia domains llc,,,,1.0,1,magnolia domains llc
mahatma,,,,1.0,1,mahatma
mahatma gandhi,,,,1.0,1,mahatma gandhi
mahatma gandhi llc,,,,1.0,1,mahatma gandhi llc
maif,,,,1.0,1,maif
mail,,,,1.0,1,mail
mail media,,,,1.0,1,mail media
magnate domains llc,,,,1.0,1,magnate domains llc
magic birch,,,1.0,1.0,1,magic birch
maff inc,,,1.0,1.0,1,maff inc
maff avenue inc,,,2.0,1.0,1,maff avenue inc
lupin limited,,,,1.0,1,lupin limited
lux,,,,,1,lux
luxury,,,1.0,1.0,1,luxury
luxury partners,,,1.0,1.0,1,luxury partners
luxury partners llc,,,1.0,1.0,1,luxury partners llc
macao,,,,2.0,1,macao
macao network,,,,2.0,1,macao network
macao network information,,,,2.0,1,macao network information
macarthur,,,1.0,1.0,1,macarthur
macarthur llc,,,1.0,1.0,1,macarthur llc
machines corporation,,,,1.0,1,machines corporation
machines gmbh,,,,1.0,1,machines gmbh
machines group,,,,,1,machines group
machines group limited,,,,,1,machines group limited
machines registrar,,,2.0,1.0,1,machines registrar
machines registrar limited,,,1.0,1.0,1,machines registrar limited
madre,1.0,,1.0,1.0,1,madre
madre maestra,1.0,,1.0,1.0,1,madre maestra
madrid,,,,1.0,1,madrid
maestra,1.0,,1.0,1.0,1,maestra
maff avenue,,,2.0,1.0,1,maff avenue
mailclub,1.0,1.0,1.0,1.0,1,mailclub
holly fields,,,,1.0,1,holly fields
holdings private limited,,,,1.0,1,holdings private limited
holdings private,,,,1.0,1,holdings private
enom467,1.0,1.0,1.0,1.0,1,enom467
enom467 incorporated,1.0,1.0,1.0,1.0,1,enom467 incorporated
enom469,1.0,1.0,1.0,1.0,1,enom469
enom469 incorporated,1.0,1.0,1.0,1.0,1,enom469 incorporated
enom5,1.0,1.0,1.0,1.0,1,enom5
enom5 inc,1.0,1.0,1.0,1.0,1,enom5 inc
enom623,1.0,1.0,1.0,1.0,1,enom623
enom623 inc,1.0,1.0,1.0,1.0,1,enom623 inc
enom625,,1.0,1.0,1.0,1,enom625
enom465 incorporated,1.0,,,1.0,1,enom465 incorporated
enom625 inc,,1.0,1.0,1.0,1,enom625 inc
enom635 inc,1.0,1.0,1.0,1.0,1,enom635 inc
enom646,1.0,1.0,1.0,1.0,1,enom646
enom646 inc,1.0,1.0,1.0,1.0,1,enom646 inc
enom647,1.0,1.0,1.0,1.0,1,enom647
enom647 inc,1.0,1.0,1.0,1.0,1,enom647 inc
enom650,1.0,1.0,1.0,1.0,1,enom650
enom650 inc,1.0,1.0,1.0,1.0,1,enom650 inc
enom652,1.0,1.0,1.0,1.0,1,enom652
enom652 inc,1.0,1.0,1.0,1.0,1,enom652 inc
enom635,1.0,1.0,1.0,1.0,1,enom635
enom654,1.0,1.0,1.0,1.0,1,enom654
enom465,2.0,1.0,1.0,1.0,1,enom465
enom463,1.0,1.0,1.0,1.0,1,enom463
enom443,1.0,1.0,1.0,1.0,1,enom443
enom443 incorporated,1.0,1.0,1.0,1.0,1,enom443 incorporated
enom445,1.0,1.0,1.0,1.0,1,enom445
enom445 incorporated,1.0,1.0,1.0,1.0,1,enom445 incorporated
enom447,1.0,1.0,1.0,1.0,1,enom447
enom447 incorporated,1.0,1.0,1.0,1.0,1,enom447 incorporated
enom449,1.0,1.0,1.0,1.0,1,enom449
enom449 incorporated,1.0,1.0,1.0,1.0,1,enom449 incorporated
enom451,,1.0,1.0,1.0,1,enom451
enom463 incorporated,1.0,1.0,1.0,1.0,1,enom463 incorporated
enom451 incorporated,,1.0,1.0,1.0,1,enom451 incorporated
enom453 incorporated,,1.0,1.0,1.0,1,enom453 incorporated
enom455,,1.0,1.0,1.0,1,enom455
enom455 incorporated,,1.0,1.0,1.0,1,enom455 incorporated
enom457,,1.0,1.0,1.0,1,enom457
enom457 incorporated,,1.0,1.0,1.0,1,enom457 incorporated
enom459,1.0,1.0,1.0,1.0,1,enom459
enom459 incorporated,1.0,1.0,1.0,1.0,1,enom459 incorporated
enom461,1.0,1.0,1.0,1.0,1,enom461
enom461 incorporated,1.0,1.0,1.0,1.0,1,enom461 incorporated
enom453,,1.0,1.0,1.0,1,enom453
enom441 incorporated,1.0,1.0,1.0,1.0,1,enom441 incorporated
enom654 inc,1.0,1.0,1.0,1.0,1,enom654 inc
enom655 inc,1.0,1.0,1.0,1.0,1,enom655 inc
enomfor,1.0,1.0,1.0,1.0,1,enomfor
enomfor inc,1.0,1.0,1.0,1.0,1,enomfor inc
enommx,1.0,1.0,1.0,1.0,1,enommx
enommx inc,1.0,1.0,1.0,1.0,1,enommx inc
enomnz,1.0,1.0,1.0,1.0,1,enomnz
enomnz inc,1.0,1.0,1.0,1.0,1,enomnz inc
enomsky,1.0,1.0,1.0,1.0,1,enomsky
enomsky inc,1.0,1.0,1.0,1.0,1,enomsky inc
enomten,1.0,1.0,1.0,1.0,1,enomten
enomeu inc,1.0,1.0,1.0,1.0,1,enomeu inc
enomten inc,1.0,1.0,1.0,1.0,1,enomten inc
enomtoo inc,1.0,1.0,1.0,1.0,1,enomtoo inc
enomv,1.0,1.0,1.0,1.0,1,enomv
enomv inc,1.0,1.0,1.0,1.0,1,enomv inc
enomx,1.0,1.0,1.0,1.0,1,enomx
enomx inc,1.0,1.0,1.0,1.0,1,enomx inc
enset,,,,1.0,1,enset
enterprise,,,2.0,1.0,1,enterprise
enterprise ltd,,,2.0,1.0,1,enterprise ltd
enterprises holding,,,,,1,enterprises holding
enomtoo,1.0,1.0,1.0,1.0,1,enomtoo
enom655,1.0,1.0,1.0,1.0,1,enom655
enomeu,1.0,1.0,1.0,1.0,1,enomeu
enombre,1.0,1.0,1.0,1.0,1,enombre
enom656,1.0,1.0,1.0,1.0,1,enom656
enom656 inc,1.0,1.0,1.0,1.0,1,enom656 inc
enom659,1.0,1.0,1.0,1.0,1,enom659
enom659 inc,1.0,1.0,1.0,1.0,1,enom659 inc
enom661,1.0,1.0,1.0,1.0,1,enom661
enom661 inc,1.0,1.0,1.0,1.0,1,enom661 inc
enom662,1.0,1.0,1.0,1.0,1,enom662
enom662 inc,1.0,1.0,1.0,1.0,1,enom662 inc
enom663,1.0,1.0,1.0,1.0,1,enom663
enombre corporation,1.0,1.0,1.0,1.0,1,enombre corporation
enom663 inc,1.0,1.0,1.0,1.0,1,enom663 inc
enom666 inc,1.0,1.0,1.0,1.0,1,enom666 inc
enom672,1.0,1.0,1.0,1.0,1,enom672
enom672 inc,1.0,1.0,1.0,1.0,1,enom672 inc
enoma1,1.0,1.0,1.0,1.0,1,enoma1
enoma1 inc,1.0,1.0,1.0,1.0,1,enoma1 inc
enomate,1.0,1.0,1.0,1.0,1,enomate
enomate inc,1.0,1.0,1.0,1.0,1,enomate inc
enomau,1.0,1.0,1.0,1.0,1,enomau
enomau inc,1.0,1.0,1.0,1.0,1,enomau inc
enom666,1.0,1.0,1.0,1.0,1,enom666
enom441,1.0,1.0,1.0,1.0,1,enom441
enom439 incorporated,1.0,1.0,1.0,1.0,1,enom439 incorporated
enom439,1.0,1.0,1.0,1.0,1,enom439
enom3 inc,1.0,1.0,1.0,1.0,1,enom3 inc
enom371,1.0,1.0,1.0,1.0,1,enom371
enom371 incorporated,1.0,1.0,1.0,1.0,1,enom371 incorporated
enom373,1.0,1.0,1.0,1.0,1,enom373
enom373 incorporated,1.0,1.0,1.0,1.0,1,enom373 incorporated
enom375,1.0,1.0,1.0,1.0,1,enom375
enom375 incorporated,1.0,1.0,1.0,1.0,1,enom375 incorporated
enom377,1.0,1.0,1.0,1.0,1,enom377
enom377 incorporated,1.0,1.0,1.0,1.0,1,enom377 incorporated
enom3,1.0,1.0,1.0,1.0,1,enom3
enom379,1.0,1.0,1.0,1.0,1,enom379
enom381,1.0,1.0,1.0,1.0,1,enom381
enom381 incorporated,1.0,1.0,1.0,1.0,1,enom381 incorporated
enom383,1.0,1.0,1.0,1.0,1,enom383
enom383 incorporated,1.0,1.0,1.0,1.0,1,enom383 incorporated
enom385,1.0,1.0,1.0,1.0,1,enom385
enom385 incorporated,1.0,1.0,1.0,1.0,1,enom385 incorporated
enom387,1.0,1.0,1.0,1.0,1,enom387
enom387 incorporated,1.0,1.0,1.0,1.0,1,enom387 incorporated
enom389,1.0,1.0,1.0,1.0,1,enom389
enom379 incorporated,1.0,1.0,1.0,1.0,1,enom379 incorporated
enom389 incorporated,1.0,1.0,1.0,1.0,1,enom389 incorporated
enom2 inc,1.0,1.0,1.0,1.0,1,enom2 inc
